County,State,Category Type,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
Connecticut,Connecticut,Total,"3,605,597","177,577","196,796","212,689","244,686","239,473","224,162","226,701","230,281","220,845","213,768","248,669","257,827","262,951","211,323","168,116","112,747","73,716","83,270","409,485","140,177","727,239","343,982","1,386,148","2,971,314","2,878,358","2,721,498","912,123","804,856","649,172","269,733"
Connecticut,Connecticut,Percent,(X),4.90%,5.50%,5.90%,6.80%,6.60%,6.20%,6.30%,6.40%,6.10%,5.90%,6.90%,7.20%,7.30%,5.90%,4.70%,3.10%,2.00%,2.30%,11.40%,3.90%,20.20%,9.50%,38.40%,82.40%,79.80%,75.50%,25.30%,22.30%,18.00%,7.50%
Connecticut,Connecticut,Male,"1,768,045","90,173","98,412","110,865","123,973","122,361","114,578","114,035","115,718","108,298","105,090","122,229","122,925","130,809","101,979","76,774","50,174","30,161","29,491","209,277","71,193","370,643","175,141","698,963","1,445,073","1,397,402","1,315,328","419,388","365,691","288,579","109,826"
Connecticut,Connecticut,Percent Male,(X),5.10%,5.60%,6.30%,7.00%,6.90%,6.50%,6.40%,6.50%,6.10%,5.90%,6.90%,7.00%,7.40%,5.80%,4.30%,2.80%,1.70%,1.70%,11.80%,4.00%,21.00%,9.90%,39.50%,81.70%,79.00%,74.40%,23.70%,20.70%,16.30%,6.20%
Connecticut,Connecticut,Female,"1,837,552","87,404","98,384","101,824","120,713","117,112","109,584","112,666","114,563","112,547","108,678","126,440","134,902","132,142","109,344","91,342","62,573","43,555","53,779","200,208","68,984","356,596","168,841","687,185","1,526,241","1,480,956","1,406,170","492,735","439,165","360,593","159,907"
Connecticut,Connecticut,Percent Female,(X),4.80%,5.40%,5.50%,6.60%,6.40%,6.00%,6.10%,6.20%,6.10%,5.90%,6.90%,7.30%,7.20%,6.00%,5.00%,3.40%,2.40%,2.90%,10.90%,3.80%,19.40%,9.20%,37.40%,83.10%,80.60%,76.50%,26.80%,23.90%,19.60%,8.70%
Fairfield County,Connecticut,Total,"959,768","50,463","56,076","63,450","65,913","60,626","54,958","56,815","56,800","66,701","61,562","69,755","70,896","67,171","51,007","40,265","25,829","19,038","22,443","119,526","40,516","210,505","86,023","361,813","775,819","749,263","712,032","225,753","197,873","158,582","67,310"
Fairfield County,Connecticut,Percent,(X),5.30%,5.80%,6.60%,6.90%,6.30%,5.70%,5.90%,5.90%,6.90%,6.40%,7.30%,7.40%,7.00%,5.30%,4.20%,2.70%,2.00%,2.30%,12.50%,4.20%,21.90%,9.00%,37.70%,80.80%,78.10%,74.20%,23.50%,20.60%,16.50%,7.00%
Fairfield County,Connecticut,Male,"470,429","25,663","28,023","32,729","33,440","30,629","27,935","28,257","28,779","32,627","30,204","34,355","33,263","34,003","25,132","17,991","11,409","8,372","7,618","60,752","20,581","106,996","43,488","181,667","376,650","363,433","344,089","104,525","89,666","70,522","27,399"
Fairfield County,Connecticut,Percent Male,(X),5.50%,6.00%,7.00%,7.10%,6.50%,5.90%,6.00%,6.10%,6.90%,6.40%,7.30%,7.10%,7.20%,5.30%,3.80%,2.40%,1.80%,1.60%,12.90%,4.40%,22.70%,9.20%,38.60%,80.10%,77.30%,73.10%,22.20%,19.10%,15.00%,5.80%
Fairfield County,Connecticut,Female,"489,339","24,800","28,053","30,721","32,473","29,997","27,023","28,558","28,021","34,074","31,358","35,400","37,633","33,168","25,875","22,274","14,420","10,666","14,825","58,774","19,935","103,509","42,535","180,146","399,169","385,830","367,943","121,228","108,207","88,060","39,911"
Fairfield County,Connecticut,Percent Female,(X),5.10%,5.70%,6.30%,6.60%,6.10%,5.50%,5.80%,5.70%,7.00%,6.40%,7.20%,7.70%,6.80%,5.30%,4.60%,2.90%,2.20%,3.00%,12.00%,4.10%,21.20%,8.70%,36.80%,81.60%,78.80%,75.20%,24.80%,22.10%,18.00%,8.20%
Hartford County,Connecticut,Total,"896,854","46,945","52,716","52,237","57,553","56,250","59,132","60,121","63,191","54,451","52,335","59,220","62,423","61,643","51,923","39,386","27,886","17,239","22,203","104,953","34,693","186,591","79,110","350,698","733,746","710,263","675,694","220,280","194,200","158,637","67,328"
Hartford County,Connecticut,Percent,(X),5.20%,5.90%,5.80%,6.40%,6.30%,6.60%,6.70%,7.00%,6.10%,5.80%,6.60%,7.00%,6.90%,5.80%,4.40%,3.10%,1.90%,2.50%,11.70%,3.90%,20.80%,8.80%,39.10%,81.80%,79.20%,75.30%,24.60%,21.70%,17.70%,7.50%
Hartford County,Connecticut,Male,"438,546","24,148","24,836","28,564","29,405","28,881","30,460","30,754","32,267","26,089","25,589","28,821","29,198","30,933","24,456","17,579","11,999","6,565","8,002","53,400","17,669","95,217","40,617","177,856","355,489","343,329","324,155","99,534","86,798","68,601","26,566"
Hartford County,Connecticut,Percent Male,(X),5.50%,5.70%,6.50%,6.70%,6.60%,6.90%,7.00%,7.40%,5.90%,5.80%,6.60%,6.70%,7.10%,5.60%,4.00%,2.70%,1.50%,1.80%,12.20%,4.00%,21.70%,9.30%,40.60%,81.10%,78.30%,73.90%,22.70%,19.80%,15.60%,6.10%
Hartford County,Connecticut,Female,"458,308","22,797","27,880","23,673","28,148","27,369","28,672","29,367","30,924","28,362","26,746","30,399","33,225","30,710","27,467","21,807","15,887","10,674","14,201","51,553","17,024","91,374","38,493","172,842","378,257","366,934","351,539","120,746","107,402","90,036","40,762"
Hartford County,Connecticut,Percent Female,(X),5.00%,6.10%,5.20%,6.10%,6.00%,6.30%,6.40%,6.70%,6.20%,5.80%,6.60%,7.20%,6.70%,6.00%,4.80%,3.50%,2.30%,3.10%,11.20%,3.70%,19.90%,8.40%,37.70%,82.50%,80.10%,76.70%,26.30%,23.40%,19.60%,8.90%
Litchfield County,Connecticut,Total,"185,000","7,887","9,459","8,287","10,979","8,769","9,975","10,681","10,728","10,753","10,292","13,675","13,655","17,803","14,272","10,726","7,499","4,678","4,882","17,746","6,971","32,604","12,777","61,885","157,185","152,396","146,589","59,860","52,604","42,057","17,059"
Litchfield County,Connecticut,Percent,(X),4.30%,5.10%,4.50%,5.90%,4.70%,5.40%,5.80%,5.80%,5.80%,5.60%,7.40%,7.40%,9.60%,7.70%,5.80%,4.10%,2.50%,2.60%,9.60%,3.80%,17.60%,6.90%,33.50%,85.00%,82.40%,79.20%,32.40%,28.40%,22.70%,9.20%
Litchfield County,Connecticut,Male,"92,621","4,428","5,196","4,156","5,777","4,742","5,055","5,382","5,406","5,161","5,402","6,792","7,064","8,637","6,381","5,585","3,450","2,019","1,988","9,352","3,765","17,545","6,754","31,523","77,618","75,076","72,042","28,060","24,341","19,423","7,457"
Litchfield County,Connecticut,Percent Male,(X),4.80%,5.60%,4.50%,6.20%,5.10%,5.50%,5.80%,5.80%,5.60%,5.80%,7.30%,7.60%,9.30%,6.90%,6.00%,3.70%,2.20%,2.10%,10.10%,4.10%,18.90%,7.30%,34.00%,83.80%,81.10%,77.80%,30.30%,26.30%,21.00%,8.10%
Litchfield County,Connecticut,Female,"92,379","3,459","4,263","4,131","5,202","4,027","4,920","5,299","5,322","5,592","4,890","6,883","6,591","9,166","7,891","5,141","4,049","2,659","2,894","8,394","3,206","15,059","6,023","30,362","79,567","77,320","74,547","31,800","28,263","22,634","9,602"
Litchfield County,Connecticut,Percent Female,(X),3.70%,4.60%,4.50%,5.60%,4.40%,5.30%,5.70%,5.80%,6.10%,5.30%,7.50%,7.10%,9.90%,8.50%,5.60%,4.40%,2.90%,3.10%,9.10%,3.50%,16.30%,6.50%,32.90%,86.10%,83.70%,80.70%,34.40%,30.60%,24.50%,10.40%
Middlesex County,Connecticut,Total,"164,759","5,973","6,942","8,091","10,403","10,357","9,835","9,007","10,493","8,169","9,287","12,541","14,667","13,125","10,971","9,664","7,400","4,360","3,474","15,033","6,270","27,276","14,490","58,264","142,203","137,483","131,130","48,994","43,973","35,869","15,234"
Middlesex County,Connecticut,Percent,(X),3.60%,4.20%,4.90%,6.30%,6.30%,6.00%,5.50%,6.40%,5.00%,5.60%,7.60%,8.90%,8.00%,6.70%,5.90%,4.50%,2.60%,2.10%,9.10%,3.80%,16.60%,8.80%,35.40%,86.30%,83.40%,79.60%,29.70%,26.70%,21.80%,9.20%
Middlesex County,Connecticut,Male,"80,846","2,644","3,594","3,940","5,524","6,013","4,721","4,544","5,986","3,657","4,493","6,089","6,828","6,282","5,367","4,437","3,749","1,806","1,172","7,534","3,560","13,738","7,977","30,445","69,743","67,108","63,904","22,813","20,704","16,531","6,727"
Middlesex County,Connecticut,Percent Male,(X),3.30%,4.40%,4.90%,6.80%,7.40%,5.80%,5.60%,7.40%,4.50%,5.60%,7.50%,8.40%,7.80%,6.60%,5.50%,4.60%,2.20%,1.40%,9.30%,4.40%,17.00%,9.90%,37.70%,86.30%,83.00%,79.00%,28.20%,25.60%,20.40%,8.30%
Middlesex County,Connecticut,Female,"83,913","3,329","3,348","4,151","4,879","4,344","5,114","4,463","4,507","4,512","4,794","6,452","7,839","6,843","5,604","5,227","3,651","2,554","2,302","7,499","2,710","13,538","6,513","27,819","72,460","70,375","67,226","26,181","23,269","19,338","8,507"
Middlesex County,Connecticut,Percent Female,(X),4.00%,4.00%,4.90%,5.80%,5.20%,6.10%,5.30%,5.40%,5.40%,5.70%,7.70%,9.30%,8.20%,6.70%,6.20%,4.40%,3.00%,2.70%,8.90%,3.20%,16.10%,7.80%,33.20%,86.40%,83.90%,80.10%,31.20%,27.70%,23.00%,10.10%
New Haven County,Connecticut,Total,"863,700","43,018","45,762","50,835","57,305","58,373","57,594","57,428","56,233","51,708","50,133","57,693","57,983","63,471","51,192","40,998","28,332","16,696","18,946","96,597","32,381","171,996","83,297","338,641","713,029","691,704","653,522","219,635","195,507","156,164","63,974"
New Haven County,Connecticut,Percent,(X),5.00%,5.30%,5.90%,6.60%,6.80%,6.70%,6.60%,6.50%,6.00%,5.80%,6.70%,6.70%,7.30%,5.90%,4.70%,3.30%,1.90%,2.20%,11.20%,3.70%,19.90%,9.60%,39.20%,82.60%,80.10%,75.70%,25.40%,22.60%,18.10%,7.40%
New Haven County,Connecticut,Male,"418,954","21,842","24,820","24,662","28,923","29,187","28,884","28,428","26,575","26,348","24,060","27,888","27,516","31,406","25,034","18,262","12,059","6,650","6,410","49,482","16,505","87,829","41,605","168,345","342,485","331,125","312,267","99,821","88,658","68,415","25,119"
New Haven County,Connecticut,Percent Male,(X),5.20%,5.90%,5.90%,6.90%,7.00%,6.90%,6.80%,6.30%,6.30%,5.70%,6.70%,6.60%,7.50%,6.00%,4.40%,2.90%,1.60%,1.50%,11.80%,3.90%,21.00%,9.90%,40.20%,81.70%,79.00%,74.50%,23.80%,21.20%,16.30%,6.00%
New Haven County,Connecticut,Female,"444,746","21,176","20,942","26,173","28,382","29,186","28,710","29,000","29,658","25,360","26,073","29,805","30,467","32,065","26,158","22,736","16,273","10,046","12,536","47,115","15,876","84,167","41,692","170,296","370,544","360,579","341,255","119,814","106,849","87,749","38,855"
New Haven County,Connecticut,Percent Female,(X),4.80%,4.70%,5.90%,6.40%,6.60%,6.50%,6.50%,6.70%,5.70%,5.90%,6.70%,6.90%,7.20%,5.90%,5.10%,3.70%,2.30%,2.80%,10.60%,3.60%,18.90%,9.40%,38.30%,83.30%,81.10%,76.70%,26.90%,24.00%,19.70%,8.70%
New London County,Connecticut,Total,"268,805","12,674","13,174","15,901","17,760","18,334","17,660","17,141","16,466","15,797","14,507","17,406","21,046","19,366","17,135","13,820","8,909","5,584","6,125","29,075","9,667","51,416","26,427","103,158","222,922","217,389","205,561","70,939","62,904","51,573","20,618"
New London County,Connecticut,Percent,(X),4.70%,4.90%,5.90%,6.60%,6.80%,6.60%,6.40%,6.10%,5.90%,5.40%,6.50%,7.80%,7.20%,6.40%,5.10%,3.30%,2.10%,2.30%,10.80%,3.60%,19.10%,9.80%,38.40%,82.90%,80.90%,76.50%,26.40%,23.40%,19.20%,7.70%
New London County,Connecticut,Male,"133,949","5,583","6,361","8,466","9,084","10,189","9,772","9,176","7,869","7,869","7,172","8,690","10,780","9,342","8,571","6,384","3,821","2,457","2,363","14,827","4,424","24,834","14,849","53,959","111,696","109,115","101,726","32,938","28,696","23,596","8,641"
New London County,Connecticut,Percent Male,(X),4.20%,4.70%,6.30%,6.80%,7.60%,7.30%,6.90%,5.90%,5.90%,5.40%,6.50%,8.00%,7.00%,6.40%,4.80%,2.90%,1.80%,1.80%,11.10%,3.30%,18.50%,11.10%,40.30%,83.40%,81.50%,75.90%,24.60%,21.40%,17.60%,6.50%
New London County,Connecticut,Female,"134,856","7,091","6,813","7,435","8,676","8,145","7,888","7,965","8,597","7,928","7,335","8,716","10,266","10,024","8,564","7,436","5,088","3,127","3,762","14,248","5,243","26,582","11,578","49,199","111,226","108,274","103,835","38,001","34,208","27,977","11,977"
New London County,Connecticut,Percent Female,(X),5.30%,5.10%,5.50%,6.40%,6.00%,5.80%,5.90%,6.40%,5.90%,5.40%,6.50%,7.60%,7.40%,6.40%,5.50%,3.80%,2.30%,2.80%,10.60%,3.90%,19.70%,8.60%,36.50%,82.50%,80.30%,77.00%,28.20%,25.40%,20.70%,8.90%
Tolland County,Connecticut,Total,"150,293","5,499","5,581","7,829","16,961","18,952","7,265","8,184","8,315","7,104","8,782","10,120","9,254","10,659","8,390","7,122","4,009","4,019","2,248","13,410","5,434","24,343","30,479","66,781","129,671","125,950","108,350","36,447","31,622","25,788","10,276"
Tolland County,Connecticut,Percent,(X),3.70%,3.70%,5.20%,11.30%,12.60%,4.80%,5.40%,5.50%,4.70%,5.80%,6.70%,6.20%,7.10%,5.60%,4.70%,2.70%,2.70%,1.50%,8.90%,3.60%,16.20%,20.30%,44.40%,86.30%,83.80%,72.10%,24.30%,21.00%,17.20%,6.80%
Tolland County,Connecticut,Male,"74,783","3,110","2,065","4,774","7,974","8,842","3,824","3,824","4,721","3,335","4,540","5,509","4,414","5,646","4,018","3,607","2,377","1,546",657,"6,839","2,561","12,510","14,255","32,520","64,110","62,273","53,843","17,851","14,959","12,205","4,580"
Tolland County,Connecticut,Percent Male,(X),4.20%,2.80%,6.40%,10.70%,11.80%,5.10%,5.10%,6.30%,4.50%,6.10%,7.40%,5.90%,7.50%,5.40%,4.80%,3.20%,2.10%,0.90%,9.10%,3.40%,16.70%,19.10%,43.50%,85.70%,83.30%,72.00%,23.90%,20.00%,16.30%,6.10%
Tolland County,Connecticut,Female,"75,510","2,389","3,516","3,055","8,987","10,110","3,441","4,360","3,594","3,769","4,242","4,611","4,840","5,013","4,372","3,515","1,632","2,473","1,591","6,571","2,873","11,833","16,224","34,261","65,561","63,677","54,507","18,596","16,663","13,583","5,696"
Tolland County,Connecticut,Percent Female,(X),3.20%,4.70%,4.00%,11.90%,13.40%,4.60%,5.80%,4.80%,5.00%,5.60%,6.10%,6.40%,6.60%,5.80%,4.70%,2.20%,3.30%,2.10%,8.70%,3.80%,15.70%,21.50%,45.40%,86.80%,84.30%,72.20%,24.60%,22.10%,18.00%,7.50%
Windham County,Connecticut,Total,"116,418","5,118","7,086","6,059","7,812","7,812","7,743","7,324","8,055","6,162","6,870","8,259","7,903","9,713","6,433","6,135","2,883","2,102","2,949","13,145","4,245","22,508","11,379","44,908","96,739","93,910","88,620","30,215","26,173","20,502","7,934"
Windham County,Connecticut,Percent,(X),4.40%,6.10%,5.20%,6.70%,6.70%,6.70%,6.30%,6.90%,5.30%,5.90%,7.10%,6.80%,8.30%,5.50%,5.30%,2.50%,1.80%,2.50%,11.30%,3.60%,19.30%,9.80%,38.60%,83.10%,80.70%,76.10%,26.00%,22.50%,17.60%,6.80%
Windham County,Connecticut,Male,"57,917","2,755","3,517","3,574","3,846","3,878","3,927","3,670","4,115","3,212","3,630","4,085","3,862","4,560","3,020","2,929","1,310",746,"1,281","7,091","2,128","11,974","5,596","22,648","47,282","45,943","43,302","13,846","11,869","9,286","3,337"
Windham County,Connecticut,Percent Male,(X),4.80%,6.10%,6.20%,6.60%,6.70%,6.80%,6.30%,7.10%,5.50%,6.30%,7.10%,6.70%,7.90%,5.20%,5.10%,2.30%,1.30%,2.20%,12.20%,3.70%,20.70%,9.70%,39.10%,81.60%,79.30%,74.80%,23.90%,20.50%,16.00%,5.80%
Windham County,Connecticut,Female,"58,501","2,363","3,569","2,485","3,966","3,934","3,816","3,654","3,940","2,950","3,240","4,174","4,041","5,153","3,413","3,206","1,573","1,356","1,668","6,054","2,117","10,534","5,783","22,260","49,457","47,967","45,318","16,369","14,304","11,216","4,597"
Windham County,Connecticut,Percent Female,(X),4.00%,6.10%,4.20%,6.80%,6.70%,6.50%,6.20%,6.70%,5.00%,5.50%,7.10%,6.90%,8.80%,5.80%,5.50%,2.70%,2.30%,2.90%,10.30%,3.60%,18.00%,9.90%,38.10%,84.50%,82.00%,77.50%,28.00%,24.50%,19.20%,7.90%
